Transaction_ID,Product
1,tropical fruit
2,whole milk
3,pip fruit
4,other vegetables
5,whole milk
6,rolls/buns
7,other vegetables
8,pot plants
9,whole milk
10,tropical fruit
11,citrus fruit
12,beef
13,frankfurter
14,chicken
15,butter
16,fruit/vegetable juice
17,packaged fruit/vegetables
18,chocolate
19,specialty bar
20,other vegetables
21,butter milk
22,whole milk
23,tropical fruit
24,tropical fruit
25,bottled water
26,yogurt
27,sausage
28,other vegetables
29,brown bread
30,yogurt
31,hamburger meat
32,root vegetables
33,pork
34,beef
35,pastry
36,fruit/vegetable juice
37,canned beer
38,root vegetables
39,citrus fruit
40,sausage
41,tropical fruit
42,berries
43,canned beer
44,butter milk
45,coffee
46,pastry
47,rolls/buns
48,misc. beverages
49,root vegetables
50,sausage
51,canned beer
52,ham
53,turkey
54,whole milk
55,whole milk
56,packaged fruit/vegetables
57,rolls/buns
58,ham
59,rolls/buns
60,other vegetables
61,sausage
62,sausage
63,frankfurter
64,rolls/buns
65,whole milk
66,curd cheese
67,red/blush wine
68,sausage
69,tropical fruit
70,red/blush wine
71,whole milk
72,frankfurter
73,whole milk
74,frozen potato products
75,other vegetables
76,citrus fruit
77,flour
78,sugar
79,frozen meals
80,chocolate
81,root vegetables
82,root vegetables
83,herbs
84,bottled water
85,sausage
86,coffee
87,pork
88,berries
89,soda
90,berries
91,fruit/vegetable juice
92,citrus fruit
93,pork
94,detergent
95,grapes
96,sausage
97,chicken
98,whole milk
99,citrus fruit
100,soda
101,sausage
102,frankfurter
103,sausage
104,soda
105,rolls/buns
106,beef
107,whole milk
108,processed cheese
109,tropical fruit
110,frankfurter
111,packaged fruit/vegetables
112,whole milk
113,berries
114,citrus fruit
115,tropical fruit
116,hamburger meat
117,hamburger meat
118,whole milk
119,fish
120,frankfurter
121,packaged fruit/vegetables
122,pastry
123,other vegetables
124,misc. beverages
125,frankfurter
126,sparkling wine
127,specialty bar
128,sausage
129,curd cheese
130,frankfurter
131,whole milk
132,newspapers
133,berries
134,curd
135,tropical fruit
136,soda
137,rolls/buns
138,canned beer
139,canned beer
140,frankfurter
141,other vegetables
142,whole milk
143,whole milk
144,citrus fruit
145,frankfurter
146,frankfurter
147,butter milk
148,hamburger meat
149,pasta
150,other vegetables
151,sausage
152,rolls/buns
153,grapes
154,root vegetables
155,coffee
